NAME                      |     AMOUNT | TRANS_DATETIME      | PROCESS_DATETIME    | LOCATION                           
==============================================================================================================================================
Kimberley                 |  35,127.00 | 2020-09-16 00:00:00 | 2021-09-28 13:04:33 | Delosperma                         
Renaldo                   |  19,996.00 | 2020-10-10 00:00:00 | 2021-09-28 7:37:40  | Cima Milkvetch                     
Dominic                   |  49,023.00 | 2020-08-13 00:00:00 | 2021-09-28 9:15:06  | Ambiguous Aloina Moss              
Berky                     |  36,065.00 | 2021-01-16 00:00:00 | 2021-09-28 11:15:24 | Puerto Rico Bully                  
Roxane                    |  36,291.00 | 2021-06-08 00:00:00 | 2021-09-28 16:09:44 | Obtuseleaf Fissidens Moss          
Lilas                     |  12,990.00 | 2020-11-15 00:00:00 | 2021-09-28 22:26:59 | Piedmont Staggerbush               
Johny                     |  24,274.00 | 2021-04-11 00:00:00 | 2021-09-28 6:41:41  | Puerto Rico Swallow-wort           
Stavro                    |   7,120.00 | 2020-07-18 00:00:00 | 2021-09-28 6:02:46  | Palo Alto Thistle                  
Sally                     |   6,020.00 | 2020-11-18 00:00:00 | 2021-09-28 13:47:56 | Roughhairy Maiden Fern             
Cicely                    |  28,665.00 | 2021-07-14 00:00:00 | 2021-09-28 17:27:31 | Spring Coralroot                   
Misti                     |   7,716.00 | 2020-08-08 00:00:00 | 2021-09-28 0:10:20  | Goodding's Tansyaster              
Georgette                 |  15,091.00 | 2020-11-03 00:00:00 | 2021-09-28 1:15:20  | Blochman's Erigeron                
Obie                      |  16,083.00 | 2020-09-05 00:00:00 | 2021-09-28 3:37:39  | Canyon Dodder                      
Osmond                    |  46,258.00 | 2020-12-29 00:00:00 | 2021-09-28 13:09:02 | Norwegian Map Lichen               
Ciel                      |  27,171.00 | 2021-02-21 00:00:00 | 2021-09-28 21:37:43 | Bearded Popcornflower              
Aurthur                   |  40,896.00 | 2021-07-24 00:00:00 | 2021-09-28 12:01:44 | Cannonball Tree                    
Ursala                    |   4,636.00 | 2021-03-29 00:00:00 | 2021-09-28 17:21:33 | Batesburg Hawthorn                 
Jay                       |  21,377.00 | 2021-07-18 00:00:00 | 2021-09-28 13:43:17 | Keyflower                          
Marlee                    |  31,505.00 | 2020-10-20 00:00:00 | 2021-09-28 10:34:16 | Inkwood                            
Jobie                     |  28,434.00 | 2020-10-08 00:00:00 | 2021-09-28 5:49:48  | Daylily                            
Leontine                  |  40,440.00 | 2020-07-10 00:00:00 | 2021-09-28 4:05:56  | Pussy Willow                       
Blanch                    |   1,635.00 | 2020-10-04 00:00:00 | 2021-09-28 22:48:52 | Eopyrenula Lichen                  
Mason                     |  14,999.00 | 2021-05-26 00:00:00 | 2021-09-28 8:08:58  | Balsam Poplar                      
Domini                    |  44,810.00 | 2021-07-11 00:00:00 | 2021-09-28 4:28:46  | Winter Creeper                     
Chet                      |  25,487.00 | 2020-11-08 00:00:00 | 2021-09-28 8:05:31  | Douglas' Mesamint                  
Minna                     |  11,909.00 | 2020-09-10 00:00:00 | 2021-09-28 20:02:52 | Aeonium                            
Joana                     |  46,204.00 | 2020-09-16 00:00:00 | 2021-09-28 8:08:23  | Green Phlox                        
Decca                     |  32,177.00 | 2021-07-29 00:00:00 | 2021-09-28 0:26:21  | Zwackhiomyces Lichen               
Eugene                    |  37,445.00 | 2020-08-15 00:00:00 | 2021-09-28 7:01:54  | Common Juniper                     
Munroe                    |  40,581.00 | 2020-08-05 00:00:00 | 2021-09-28 23:27:00 | Thurber's Wirelettuce              
Bogey                     |  45,566.00 | 2020-08-24 00:00:00 | 2021-09-28 15:38:46 | Little Oniongrass                  
Hyacinth                  |  21,891.00 | 2021-02-19 00:00:00 | 2021-09-28 12:29:24 | Windmills                          
Sherline                  |  34,733.00 | 2021-03-05 00:00:00 | 2021-09-28 16:52:38 | Low Northern-rockcress             
Lucais                    |  49,423.00 | 2020-08-01 00:00:00 | 2021-09-28 10:45:21 | Slender Rushpea                    
Marcile                   |   5,627.00 | 2021-07-24 00:00:00 | 2021-09-28 9:31:09  | Avens                              
Gracia                    |  14,052.00 | 2020-08-04 00:00:00 | 2021-09-28 21:11:30 | Brightgreen Spleenwort             
Marinna                   |  37,414.00 | 2021-03-14 00:00:00 | 2021-09-28 23:33:17 | Hybrid Willow                      
Norry                     |  43,734.00 | 2020-11-05 00:00:00 | 2021-09-28 20:59:31 | Woodland Sensitive Pea             
Delinda                   |  38,286.00 | 2021-04-10 00:00:00 | 2021-09-28 19:13:19 | Kei Apple                          
Johnny                    |   5,524.00 | 2020-07-24 00:00:00 | 2021-09-28 20:45:31 | Forest Soralpouch Fern             
Ignatius                  |   6,017.00 | 2020-08-22 00:00:00 | 2021-09-28 2:46:21  | Slenderleaf Iceplant               
Simone                    |  29,835.00 | 2021-05-06 00:00:00 | 2021-09-28 11:44:37 | California Laurel                  
Nomi                      |  12,359.00 | 2021-04-28 00:00:00 | 2021-09-28 23:30:14 | Pitcherplant                       
Zechariah                 |   5,143.00 | 2021-03-10 00:00:00 | 2021-09-28 4:18:16  | Twistedstalk                       
Nannie                    |  48,108.00 | 2020-10-30 00:00:00 | 2021-09-28 3:08:36  | Virginia Pine                      
Forest                    |  25,904.00 | 2020-08-24 00:00:00 | 2021-09-28 12:36:40 | California Prickly Phlox           
Nani                      |  11,019.00 | 2021-01-28 00:00:00 | 2021-09-28 6:07:37  | Mojave Mound Cactus                
Killian                   |  16,033.00 | 2021-04-01 00:00:00 | 2021-09-28 3:50:04  | Aloha Fescue                       
Jeniffer                  |  39,320.00 | 2020-07-22 00:00:00 | 2021-09-28 17:12:00 | Siberian Ginseng                   
Antonius                  |  42,918.00 | 2020-11-28 00:00:00 | 2021-09-28 10:52:24 | Smooth Hawthorn                    
Felicity                  |  20,341.00 | 2020-12-20 00:00:00 | 2021-09-28 21:39:41 | Eggleaf Silktassel                 
Frederique                |  19,666.00 | 2020-08-17 00:00:00 | 2021-09-28 14:07:31 | Kaibab Suncup                      
Shanta                    |   8,530.00 | 2020-09-02 00:00:00 | 2021-09-28 8:05:36  | Lidpod                             
Carrissa                  |  33,553.00 | 2021-05-04 00:00:00 | 2021-09-28 14:00:29 | Tuliptree                          
Tomasina                  |  11,315.00 | 2020-07-29 00:00:00 | 2021-09-28 20:26:22 | Agracejo Rastrero                  
Felicdad                  |  14,632.00 | 2021-06-01 00:00:00 | 2021-09-28 12:06:46 | Threetooth Hawkweed                
Orville                   |  49,387.00 | 2021-06-20 00:00:00 | 2021-09-28 9:45:18  | Desert Globemallow                 
Rodd                      |  30,511.00 | 2020-12-05 00:00:00 | 2021-09-28 17:04:10 | Whitegrass                         
Hendrick                  |  40,585.00 | 2021-05-17 00:00:00 | 2021-09-28 1:12:47  | Star Orchid                        
Constancy                 |  46,919.00 | 2020-07-16 00:00:00 | 2021-09-28 23:18:59 | German's Maiden Fern               
Almire                    |  41,699.00 | 2020-07-07 00:00:00 | 2021-09-28 17:34:40 | Diamondpetal California Poppy      
Lyndsie                   |  47,960.00 | 2021-02-24 00:00:00 | 2021-09-28 20:33:32 | Moss Phlox                         
Caryn                     |  36,400.00 | 2021-03-05 00:00:00 | 2021-09-28 20:49:53 | Wild Coffee                        
Waldo                     |  23,186.00 | 2021-06-13 00:00:00 | 2021-09-28 17:13:32 | Shrubby Pencilflower               
Mahmoud                   |  42,006.00 | 2021-03-15 00:00:00 | 2021-09-28 12:27:53 | Green Carpetweed                   
Quinn                     |  20,524.00 | 2021-07-20 00:00:00 | 2021-09-28 22:53:13 | Santa Barbara Island Liveforever   
Far                       |  30,419.00 | 2020-12-13 00:00:00 | 2021-09-28 19:10:22 | Dotted Bristle Fern                
